Day,Month,Year,Date,Reason Group 1,Reason Group 2,Reason Group 3,Reason Group 4,Transportation Expense,Distance to Work,Age,Daily Work Load Average,Body Mass Index,Education,Children,Pets,Absenteeism Time in Hours
16,11,2015,2015-11-16,1,0,0,0,291,31,40,306.345,25,0,1,1,40
18,11,2015,2015-11-18,0,0,0,1,225,26,28,306.345,24,0,1,2,1
20,11,2015,2015-11-20,1,0,0,0,155,12,34,306.345,25,0,2,0,8
18,11,2015,2015-11-18,0,0,0,1,225,26,28,306.345,24,0,1,2,3
25,11,2015,2015-11-25,0,0,1,0,179,22,40,306.345,22,1,2,0,8
20,11,2015,2015-11-20,1,0,0,0,225,26,28,306.345,24,0,1,2,3
27,11,2015,2015-11-27,0,0,0,1,260,50,36,306.345,23,0,4,0,4
2,11,2015,2015-11-02,0,0,0,1,248,25,47,306.345,32,0,2,1,1
10,11,2015,2015-11-10,0,0,0,1,225,26,28,306.345,24,0,1,2,3
11,11,2015,2015-11-11,1,0,0,0,289,36,33,306.345,30,0,2,1,24
26,11,2015,2015-11-26,0,0,0,1,291,31,40,306.345,25,0,1,1,3
1,12,2015,2015-12-01,0,0,0,1,248,25,47,261.306,32,0,2,1,1
1,12,2015,2015-12-01,0,0,1,0,118,10,37,261.306,28,0,0,0,64
2,12,2015,2015-12-02,0,0,0,1,118,13,50,261.306,31,0,1,0,2
2,12,2015,2015-12-02,0,0,0,1,235,11,37,261.306,29,1,1,1,8
3,12,2015,2015-12-03,0,0,0,1,225,26,28,261.306,24,0,1,2,2
4,12,2015,2015-12-04,0,0,0,1,260,50,36,261.306,23,0,4,0,8
8,12,2015,2015-12-08,0,0,1,0,118,10,37,261.306,28,0,0,0,56
9,12,2015,2015-12-09,0,0,0,1,361,52,28,261.306,27,0,1,4,8
10,12,2015,2015-12-10,0,0,0,1,225,26,28,261.306,24,0,1,2,3
11,12,2015,2015-12-11,0,0,0,1,260,50,36,261.306,23,0,4,0,3
15,12,2015,2015-12-15,0,0,0,1,225,26,28,261.306,24,0,1,2,2
16,12,2015,2015-12-16,0,0,0,1,361,52,28,261.306,27,0,1,4,8
11,12,2015,2015-12-11,0,0,0,1,118,10,37,261.306,28,0,0,0,2
18,12,2015,2015-12-18,0,0,1,0,246,25,41,261.306,23,0,0,0,8
18,12,2015,2015-12-18,0,0,0,1,225,26,28,261.306,24,0,1,2,2
6,1,2016,2016-01-06,0,0,0,1,225,26,28,308.593,24,0,1,2,1
4,1,2016,2016-01-04,0,0,1,0,118,10,37,308.593,28,0,0,0,1
5,1,2016,2016-01-05,0,0,0,1,118,10,37,308.593,28,0,0,0,1
5,1,2016,2016-01-05,0,0,1,0,155,12,34,308.593,25,0,2,0,8
6,1,2016,2016-01-06,0,0,0,1,225,26,28,308.593,24,0,1,2,2
7,1,2016,2016-01-07,0,0,0,1,184,42,27,308.593,21,0,0,0,2
7,1,2016,2016-01-07,0,0,0,1,225,26,28,308.593,24,0,1,2,2
8,1,2016,2016-01-08,0,0,0,1,225,26,28,308.593,24,0,1,2,1
11,1,2016,2016-01-11,0,0,0,1,118,10,37,308.593,28,0,0,0,2
12,1,2016,2016-01-12,0,0,0,1,225,26,28,308.593,24,0,1,2,2
12,1,2016,2016-01-12,0,0,0,1,118,10,37,308.593,28,0,0,0,2
13,1,2016,2016-01-13,0,0,0,1,118,10,37,308.593,28,0,0,0,2
14,1,2016,2016-01-14,0,0,0,1,118,10,37,308.593,28,0,0,0,2
15,1,2016,2016-01-15,0,0,0,1,118,10,37,308.593,28,0,0,0,2
11,1,2016,2016-01-11,0,0,0,1,118,10,37,308.593,28,0,0,0,2
12,1,2016,2016-01-12,0,0,0,1,118,10,37,308.593,28,0,0,0,2
12,1,2016,2016-01-12,0,0,1,0,179,26,30,308.593,19,1,0,0,8
12,1,2016,2016-01-12,0,0,1,0,289,36,33,308.593,30,0,2,1,8
13,1,2016,2016-01-13,0,0,0,1,118,10,37,308.593,28,0,0,0,2
21,1,2016,2016-01-21,0,0,0,1,184,42,27,308.593,21,0,0,0,2
28,1,2016,2016-01-28,0,0,0,1,118,10,37,308.593,28,0,0,0,2
25,1,2016,2016-01-25,0,0,0,1,118,10,37,308.593,28,0,0,0,0
26,1,2016,2016-01-26,0,0,0,1,225,26,28,308.593,24,0,1,2,1
28,1,2016,2016-01-28,0,0,0,1,289,36,33,308.593,30,0,2,1,3
5,2,2016,2016-02-05,0,0,0,1,184,42,27,302.585,21,0,0,0,1
3,2,2016,2016-02-03,1,0,0,0,246,25,41,302.585,23,0,0,0,8
10,2,2016,2016-02-10,1,0,0,0,179,51,38,302.585,31,0,0,0,8
11,2,2016,2016-02-11,0,0,0,1,155,12,34,302.585,25,0,2,0,2
11,2,2016,2016-02-11,0,0,0,1,189,29,33,302.585,25,0,2,2,8
12,2,2016,2016-02-12,0,0,0,1,260,50,36,302.585,23,0,4,0,2
12,2,2016,2016-02-12,0,0,0,1,289,36,33,302.585,30,0,2,1,8
8,2,2016,2016-02-08,1,0,0,0,388,15,50,302.585,24,0,0,0,8
9,2,2016,2016-02-09,1,0,0,0,388,15,50,302.585,24,0,0,0,8
15,2,2016,2016-02-15,0,0,0,1,225,26,28,302.585,24,0,1,2,2
9,2,2016,2016-02-09,0,0,0,1,225,26,28,302.585,24,0,1,2,2
16,2,2016,2016-02-16,0,0,0,1,179,26,30,302.585,19,1,0,0,1
23,2,2016,2016-02-23,0,0,0,1,184,42,27,302.585,21,0,0,0,8
25,2,2016,2016-02-25,0,0,0,1,225,26,28,302.585,24,0,1,2,3
15,2,2016,2016-02-15,0,0,1,0,330,16,28,302.585,25,1,0,0,8
16,2,2016,2016-02-16,0,0,0,1,330,16,28,302.585,25,1,0,0,1
17,2,2016,2016-02-17,0,0,0,1,225,26,28,302.585,24,0,1,2,1
25,2,2016,2016-02-25,0,0,1,0,189,29,33,302.585,25,0,2,2,8
1,3,2016,2016-03-01,0,0,0,1,291,50,32,343.253,23,0,0,0,2
1,3,2016,2016-03-01,0,0,1,0,260,50,36,343.253,23,0,4,0,8
8,3,2016,2016-03-08,0,0,1,0,157,27,29,343.253,22,0,0,0,3
15,3,2016,2016-03-15,0,1,0,0,179,22,40,343.253,22,1,2,0,8
16,3,2016,2016-03-16,0,0,0,1,291,31,40,343.253,25,0,1,1,8
2,3,2016,2016-03-02,1,0,0,0,260,50,36,343.253,23,0,4,0,8
3,3,2016,2016-03-03,1,0,0,0,179,26,30,343.253,19,1,0,0,8
4,3,2016,2016-03-04,1,0,0,0,248,25,47,343.253,32,0,2,1,3
4,3,2016,2016-03-04,1,0,0,0,260,50,36,343.253,23,0,4,0,40
7,3,2016,2016-03-07,1,0,0,0,179,22,40,343.253,22,1,2,0,40
14,3,2016,2016-03-14,1,0,0,0,155,12,34,343.253,25,0,2,0,16
21,3,2016,2016-03-21,0,0,0,1,260,50,36,343.253,23,0,4,0,16
22,3,2016,2016-03-22,1,0,0,0,155,12,34,343.253,25,0,2,0,8
24,3,2016,2016-03-24,1,0,0,0,289,36,33,343.253,30,0,2,1,8
24,3,2016,2016-03-24,1,0,0,0,179,22,40,343.253,22,1,2,0,8
25,3,2016,2016-03-25,0,0,0,1,260,50,36,343.253,23,0,4,0,4
25,3,2016,2016-03-25,0,0,0,1,225,26,28,343.253,24,0,1,2,1
28,3,2016,2016-03-28,1,0,0,0,279,5,39,343.253,24,0,2,0,8
29,3,2016,2016-03-29,1,0,0,0,179,51,38,343.253,31,0,0,0,24
30,3,2016,2016-03-30,0,0,0,1,225,26,28,343.253,24,0,1,2,2
28,3,2016,2016-03-28,1,0,0,0,225,26,28,343.253,24,0,1,2,8
28,3,2016,2016-03-28,1,0,0,0,179,26,30,343.253,19,1,0,0,1
29,3,2016,2016-03-29,1,0,0,0,225,26,28,343.253,24,0,1,2,8
30,3,2016,2016-03-30,1,0,0,0,225,26,28,343.253,24,0,1,2,16
30,3,2016,2016-03-30,1,0,0,0,179,51,38,343.253,31,0,0,0,3
17,3,2016,2016-03-17,1,0,0,0,279,5,39,343.253,24,0,2,0,16
18,3,2016,2016-03-18,0,0,0,1,225,26,28,343.253,24,0,1,2,2
25,3,2016,2016-03-25,1,0,0,0,248,25,47,343.253,32,0,2,1,3
28,3,2016,2016-03-28,0,0,0,1,225,26,28,343.253,24,0,1,2,1
6,4,2016,2016-04-06,0,0,0,1,291,31,40,326.452,25,0,1,1,1
13,4,2016,2016-04-13,0,0,0,1,225,26,28,326.452,24,0,1,2,1
12,4,2016,2016-04-12,0,0,0,1,155,12,34,326.452,25,0,2,0,1
13,4,2016,2016-04-13,1,0,0,0,246,25,41,326.452,23,0,0,0,24
14,4,2016,2016-04-14,0,0,0,1,155,12,34,326.452,25,0,2,0,1
15,4,2016,2016-04-15,0,0,0,1,225,26,28,326.452,24,0,1,2,2
15,4,2016,2016-04-15,0,0,0,1,260,50,36,326.452,23,0,4,0,4
6,4,2016,2016-04-06,1,0,0,0,179,51,38,326.452,31,0,0,0,24
7,4,2016,2016-04-07,0,0,0,1,118,13,50,326.452,31,0,1,0,1
8,4,2016,2016-04-08,0,0,0,1,291,31,40,326.452,25,0,1,1,3
8,4,2016,2016-04-08,1,0,0,0,246,25,41,326.452,23,0,0,0,8
22,4,2016,2016-04-22,0,0,0,1,291,31,40,326.452,25,0,1,1,1
29,4,2016,2016-04-29,0,0,0,1,248,25,47,326.452,32,0,2,1,8
29,4,2016,2016-04-29,0,0,1,0,260,50,36,326.452,23,0,4,0,56
26,4,2016,2016-04-26,0,0,1,0,289,36,33,326.452,30,0,2,1,8
27,4,2016,2016-04-27,1,0,0,0,155,12,34,326.452,25,0,2,0,24
27,4,2016,2016-04-27,0,0,1,0,378,49,36,326.452,21,0,2,4,8
28,4,2016,2016-04-28,1,0,0,0,289,36,33,326.452,30,0,2,1,16
8,4,2016,2016-04-08,1,0,0,0,235,11,37,326.452,29,1,1,1,3
4,4,2016,2016-04-04,0,0,0,0,235,29,48,326.452,33,0,1,5,0
4,5,2016,2016-05-04,1,0,0,0,289,36,33,378.884,30,0,2,1,8
5,5,2016,2016-05-05,0,0,0,1,155,12,34,378.884,25,0,2,0,2
2,5,2016,2016-05-02,0,0,0,1,155,12,34,378.884,25,0,2,0,1
3,5,2016,2016-05-03,0,0,1,0,179,51,38,378.884,31,0,0,0,8
3,5,2016,2016-05-03,0,0,1,0,225,26,28,378.884,24,0,1,2,8
11,5,2016,2016-05-11,1,0,0,0,184,42,27,378.884,21,0,0,0,4
9,5,2016,2016-05-09,0,0,0,1,155,12,34,378.884,25,0,2,0,2
10,5,2016,2016-05-10,1,0,0,0,179,51,38,378.884,31,0,0,0,1
4,5,2016,2016-05-04,1,0,0,0,289,36,33,378.884,30,0,2,1,24
11,5,2016,2016-05-11,0,0,0,0,279,5,39,378.884,24,0,2,0,0
18,5,2016,2016-05-18,0,0,0,0,330,16,28,378.884,25,1,0,0,0
25,5,2016,2016-05-25,0,0,0,0,378,49,36,378.884,21,0,2,4,0
25,5,2016,2016-05-25,0,0,0,0,388,15,50,378.884,24,0,0,0,0
24,5,2016,2016-05-24,1,0,0,0,179,51,38,378.884,31,0,0,0,1
11,5,2016,2016-05-11,1,0,0,0,118,13,50,378.884,31,0,1,0,24
27,5,2016,2016-05-27,0,0,0,1,361,52,28,378.884,27,0,1,4,8
6,6,2016,2016-06-06,0,0,1,0,246,25,41,377.55,23,0,0,0,8
13,6,2016,2016-06-13,0,0,0,1,361,52,28,377.55,27,0,1,4,8
14,6,2016,2016-06-14,1,0,0,0,246,25,41,377.55,23,0,0,0,24
16,6,2016,2016-06-16,0,0,0,1,291,31,40,377.55,25,0,1,1,4
17,6,2016,2016-06-17,1,0,0,0,246,25,41,377.55,23,0,0,0,8
13,6,2016,2016-06-13,1,0,0,0,179,51,38,377.55,31,0,0,0,8
20,6,2016,2016-06-20,0,0,0,1,155,12,34,377.55,25,0,2,0,4
27,6,2016,2016-06-27,1,0,0,0,246,25,41,377.55,23,0,0,0,8
29,6,2016,2016-06-29,1,0,0,0,118,13,50,377.55,31,0,1,0,8
3,6,2016,2016-06-03,1,0,0,0,235,11,37,377.55,29,1,1,1,16
7,6,2016,2016-06-07,0,0,0,1,118,13,50,377.55,31,0,1,0,1
8,6,2016,2016-06-08,1,0,0,0,118,13,50,377.55,31,0,1,0,80
9,6,2016,2016-06-09,0,0,0,1,378,49,36,377.55,21,0,2,4,8
10,6,2016,2016-06-10,1,0,0,0,179,51,38,377.55,31,0,0,0,2
20,6,2016,2016-06-20,0,0,0,1,289,48,49,377.55,36,0,0,2,2
30,6,2016,2016-06-30,0,0,0,1,225,26,28,377.55,24,0,1,2,2
5,7,2016,2016-07-05,0,0,1,0,155,12,34,275.312,25,0,2,0,16
6,7,2016,2016-07-06,1,0,0,0,118,13,50,275.312,31,0,1,0,8
8,7,2016,2016-07-08,1,0,0,0,118,10,37,275.312,28,0,0,0,8
8,7,2016,2016-07-08,0,0,0,1,118,10,37,275.312,28,0,0,0,4
12,7,2016,2016-07-12,0,0,0,1,330,16,28,275.312,25,1,0,0,8
14,7,2016,2016-07-14,0,0,1,0,179,26,30,275.312,19,1,0,0,8
15,7,2016,2016-07-15,0,0,0,1,155,12,34,275.312,25,0,2,0,2
18,7,2016,2016-07-18,1,0,0,0,330,16,28,275.312,25,1,0,0,8
19,7,2016,2016-07-19,1,0,0,0,330,16,28,275.312,25,1,0,0,8
18,7,2016,2016-07-18,0,0,0,1,157,27,29,275.312,22,0,0,0,3
19,7,2016,2016-07-19,0,0,0,1,361,52,28,275.312,27,0,1,4,8
20,7,2016,2016-07-20,0,0,0,1,289,36,33,275.312,30,0,2,1,8
21,7,2016,2016-07-21,0,0,0,1,179,51,38,275.312,31,0,0,0,8
11,7,2016,2016-07-11,0,0,1,0,289,36,33,275.312,30,0,2,1,32
14,7,2016,2016-07-14,0,0,1,0,289,36,33,275.312,30,0,2,1,8
21,7,2016,2016-07-21,0,0,0,0,260,50,36,275.312,23,0,4,0,0
4,8,2016,2016-08-04,0,0,1,0,289,36,33,265.615,30,0,2,1,8
11,8,2016,2016-08-11,0,0,1,0,157,27,29,265.615,22,0,0,0,3
7,8,2016,2016-08-07,0,0,0,1,289,36,33,265.615,30,0,2,1,1
8,8,2016,2016-08-08,0,0,1,0,228,14,58,265.615,22,0,2,1,8
10,8,2016,2016-08-10,1,0,0,0,300,26,43,265.615,25,0,2,1,1
10,8,2016,2016-08-10,1,0,0,0,300,26,43,265.615,25,0,2,1,2
11,8,2016,2016-08-11,0,0,0,1,260,50,36,265.615,23,0,4,0,4
8,8,2016,2016-08-08,0,0,0,1,289,36,33,265.615,30,0,2,1,4
9,8,2016,2016-08-09,0,0,0,1,248,25,47,265.615,32,0,2,1,1
10,8,2016,2016-08-10,1,0,0,0,268,11,33,265.615,25,1,0,0,8
10,8,2016,2016-08-10,0,0,0,1,179,26,30,265.615,19,1,0,0,1
10,8,2016,2016-08-10,1,0,0,0,118,13,50,265.615,31,0,1,0,3
14,8,2016,2016-08-14,0,0,0,1,248,25,47,265.615,32,0,2,1,2
15,8,2016,2016-08-15,0,0,0,1,235,11,37,265.615,29,1,1,1,1
17,8,2016,2016-08-17,0,0,0,1,118,13,50,265.615,31,0,1,0,1
24,8,2016,2016-08-24,0,0,1,0,235,11,37,265.615,29,1,1,1,8
8,8,2016,2016-08-08,1,0,0,0,361,52,28,265.615,27,0,1,4,8
30,8,2016,2016-08-30,1,0,0,0,184,42,27,265.615,21,0,0,0,8
5,9,2016,2016-09-05,1,0,0,0,179,51,38,294.217,31,0,0,0,8
9,9,2016,2016-09-09,0,0,0,1,179,51,38,294.217,31,0,0,0,3
7,9,2016,2016-09-07,0,0,1,0,289,36,33,294.217,30,0,2,1,24
8,9,2016,2016-09-08,0,0,0,0,235,20,43,294.217,38,0,1,0,0
12,9,2016,2016-09-12,1,0,0,0,246,25,41,294.217,23,0,0,0,16
13,9,2016,2016-09-13,0,0,0,1,291,31,40,294.217,25,0,1,1,3
13,9,2016,2016-09-13,0,0,0,0,231,35,39,294.217,35,0,2,2,0
13,9,2016,2016-09-13,0,0,0,0,291,50,32,294.217,23,0,0,0,0
14,9,2016,2016-09-14,1,0,0,0,179,51,38,294.217,31,0,0,0,8
14,9,2016,2016-09-14,1,0,0,0,246,25,41,294.217,23,0,0,0,32
15,9,2016,2016-09-15,0,0,0,1,179,51,38,294.217,31,0,0,0,1
16,9,2016,2016-09-16,0,0,0,1,291,31,40,294.217,25,0,1,1,4
16,9,2016,2016-09-16,0,0,0,1,260,50,36,294.217,23,0,4,0,4
14,9,2016,2016-09-14,0,0,0,1,235,20,43,294.217,38,0,1,0,8
15,9,2016,2016-09-15,0,0,0,1,118,13,50,294.217,31,0,1,0,1
15,9,2016,2016-09-15,0,0,0,0,235,20,43,294.217,38,0,1,0,0
16,9,2016,2016-09-16,0,0,0,1,291,31,40,294.217,25,0,1,1,3
26,9,2016,2016-09-26,1,0,0,0,291,31,40,294.217,25,0,1,1,40
26,9,2016,2016-09-26,1,0,0,0,179,51,38,294.217,31,0,0,0,8
5,10,2016,2016-10-05,0,0,0,1,289,36,33,265.017,30,0,2,1,8
5,10,2016,2016-10-05,0,0,0,1,235,11,37,265.017,29,1,1,1,4
5,10,2016,2016-10-05,0,0,0,1,289,36,33,265.017,30,0,2,1,8
6,10,2016,2016-10-06,0,0,0,1,289,36,33,265.017,30,0,2,1,8
6,10,2016,2016-10-06,0,0,0,0,118,13,50,265.017,31,0,1,0,0
6,10,2016,2016-10-06,0,0,0,0,248,25,47,265.017,32,0,2,1,0
12,10,2016,2016-10-12,1,0,0,0,179,26,30,265.017,19,1,0,0,8
12,10,2016,2016-10-12,1,0,0,0,118,10,37,265.017,28,0,0,0,3
12,10,2016,2016-10-12,0,0,0,1,369,17,31,265.017,25,0,3,0,8
14,10,2016,2016-10-14,0,0,0,1,179,51,38,265.017,31,0,0,0,1
14,10,2016,2016-10-14,1,0,0,0,179,26,30,265.017,19,1,0,0,64
14,10,2016,2016-10-14,0,0,0,0,235,20,43,265.017,38,0,1,0,0
15,10,2016,2016-10-15,0,0,1,0,289,36,33,265.017,30,0,2,1,16
16,10,2016,2016-10-16,0,0,0,1,260,50,36,265.017,23,0,4,0,3
16,10,2016,2016-10-16,0,0,0,0,235,20,43,265.017,38,0,1,0,0
19,10,2016,2016-10-19,0,0,0,1,235,20,43,265.017,38,0,1,0,2
19,10,2016,2016-10-19,0,0,0,1,235,20,43,265.017,38,0,1,0,2
20,10,2016,2016-10-20,0,0,0,1,118,13,50,265.017,31,0,1,0,1
20,10,2016,2016-10-20,0,0,0,1,291,31,40,265.017,25,0,1,1,4
22,10,2016,2016-10-22,0,0,0,1,179,26,30,265.017,19,1,0,0,16
22,10,2016,2016-10-22,0,0,0,1,118,13,50,265.017,31,0,1,0,1
26,10,2016,2016-10-26,1,0,0,0,361,52,28,265.017,27,0,1,4,8
27,10,2016,2016-10-27,0,0,0,0,260,50,36,265.017,23,0,4,0,0
27,10,2016,2016-10-27,0,0,0,0,291,31,40,265.017,25,0,1,1,0
27,10,2016,2016-10-27,0,0,0,0,157,27,29,265.017,22,0,0,0,0
28,10,2016,2016-10-28,1,0,0,0,179,26,30,265.017,19,1,0,0,5
28,10,2016,2016-10-28,1,0,0,0,179,26,30,265.017,19,1,0,0,5
29,10,2016,2016-10-29,0,0,0,1,118,13,50,265.017,31,0,1,0,1
7,11,2016,2016-11-07,1,0,0,0,118,10,37,284.031,28,0,0,0,8
7,11,2016,2016-11-07,0,0,0,1,248,25,47,284.031,32,0,2,1,2
8,11,2016,2016-11-08,1,0,0,0,179,51,38,284.031,31,0,0,0,8
11,11,2016,2016-11-11,0,0,0,1,260,50,36,284.031,23,0,4,0,3
14,11,2016,2016-11-14,0,0,0,1,291,31,40,284.031,25,0,1,1,1
14,11,2016,2016-11-14,1,0,0,0,378,49,36,284.031,21,0,2,4,8
14,11,2016,2016-11-14,1,0,0,0,155,12,34,284.031,25,0,2,0,120
14,11,2016,2016-11-14,0,0,0,1,235,20,43,284.031,38,0,1,0,8
15,11,2016,2016-11-15,0,0,0,0,330,16,28,284.031,25,1,0,0,0
16,11,2016,2016-11-16,0,0,1,0,235,11,37,284.031,29,1,1,1,1
16,11,2016,2016-11-16,1,0,0,0,118,10,37,284.031,28,0,0,0,3
